ID,Month,Day,Time,Team1,Score1,Score2,Team2,Status,Penalty Kick
1,November,21,0:00,Qatar,0,2,Ecuador,Ended,——
2,November,22,0:00,Senegal,0,2,Netherlands,Ended,——
3,November,25,21:00,Qatar,1,3,Senegal,Ended,——
4,November,26,0:00,Netherlands,1,1,Ecuador,Ended,——
5,November,29,23:00,Netherlands,2,0,Qatar,Ended,——
6,November,29,23:00,Ecuador,1,2,Senegal,Ended,——
7,November,21,21:00,England,6,2,Iran,Ended,——
8,November,22,3:00,USA,1,1,Wales,Ended,——
9,November,26,3:00,England,0,0,USA,Ended,——
10,November,25,18:00,Wales,0,2,Iran,Ended,——
11,November,30,3:00,Wales,0,3,England,Ended,——
12,November,30,3:00,Iran,0,1,USA,Ended,——
13,November,22,18:00,Argentina,1,2,Saudi Arabia,Ended,——
14,November,23,0:00,Mexico,0,0,Poland,Ended,——
15,November,26,21:00,Poland,2,0,Saudi Arabia,Ended,——
16,November,27,3:00,Argentina,2,0,Mexico,Ended,——
17,December,1,3:00,Poland,0,2,Argentina,Ended,——
18,December,1,3:00,Saudi Arabia,1,2,Mexico,Ended,——
19,November,23,3:00,France,4,1,Australia,Ended,——
20,November,22,21:00,Denmark,0,0,Tunisia,Ended,——
21,November,27,0:00,France,2,1,Denmark,Ended,——
22,November,26,18:00,Tunisia,0,1,Australia,Ended,——
23,November,30,23:00,Tunisia,1,0,France,Ended,——
24,November,30,23:00,Australia,1,0,Denmark,Ended,——
25,November,24,0:00,Spain,7,0,Costa Rica,Ended,——
26,November,23,21:00,Germany,1,2,Japan,Ended,——
27,November,28,3:00,Spain,1,1,Germany,Ended,——
28,November,27,18:00,Japan,0,1,Costa Rica,Ended,——
29,December,2,3:00,Japan,2,1,Spain,Ended,——
30,December,2,3:00,Costa Rica,2,4,Germany,Ended,——
31,November,24,3:00,Belgium,1,0,Canada,Ended,——
32,November,23,18:00,Morocco,0,0,Croatia,Ended,——
33,November,27,21:00,Belgium,0,2,Morocco,Ended,——
34,November,28,0:00,Croatia,4,1,Canada,Ended,——
35,December,1,23:00,Croatia,0,0,Belgium,Ended,——
36,December,1,23:00,Canada,1,2,Morocco,Ended,——
37,November,25,3:00,Brazil,2,0,Serbia,Ended,——
38,November,24,18:00,Switzerland,1,0,Cameroon,Ended,——
39,November,29,0:00,Brazil,1,0,Switzerland,Ended,——
40,November,28,18:00,Cameroon,3,3,Serbia,Ended,——
41,December,3,3:00,Cameroon,1,0,Brazil,Ended,——
42,December,3,3:00,Serbia,2,3,Switzerland,Ended,——
43,November,25,0:00,Portugal,3,2,Ghana,Ended,——
44,November,24,21:00,Uruguay,0,0,South Korea,Ended,——
45,November,29,3:00,Portugal,2,0,Uruguay,Ended,——
46,November,28,21:00,South Korea,2,3,Ghana,Ended,——
47,December,2,23:00,South Korea,2,1,Portugal,Ended,——
48,December,2,23:00,Ghana,0,2,Uruguay,Ended,——
49,December,3,23:00,Netherlands,3,1,USA,Ended,——
50,December,4,3:00,Argentina,2,1,Australia,Ended,——
51,December,5,3:00,England,3,0,Senegal,Ended,——
52,December,4,23:00,France,3,1,Poland,Ended,——
53,December,5,23:00,Japan,1,1,Croatia,Ended,1:3
54,December,6,3:00,Brazil,4,1,South Korea,Ended,——
55,December,6,23:00,Morocco,0,0,Spain,Ended,3:0
56,December,7,3:00,Portugal,6,1,Switzerland,Ended,——
57,December,10,3:00,Netherlands,2,2,Argentina,Ended,3:4
58,December,9,23:00,Croatia,1,1,Brazil,Ended,4:2
59,December,11,3:00,England,1,2,France,Ended,——
60,December,10,23:00,Morocco,1,0,Portugal,Ended,——
61,December,14,3:00,Argentina,3,0,Croatia,Ended,——
62,December,15,3:00,France,2,0,Morocco,Ended,——
63,December,17,23:00,Croatia,2,1,Morocco,Ended,——
64,December,18,23:00,Argentina,3,3,France,Ended,4:2
